名稱,重要地標,地址,緯度,經度,充電車位數量
中崙高中地下停車場,中崙高中,臺北市松山區八德路4段101號,25.049623117481627, 121.561236770301,7
民生立體停車場,民生立體停車場,臺北市松山區民生東路5段84號,25.058528144922892, 121.5595477279713,4
民生社區活動中心地下停車場,民生社區活動中心,臺北市松山區民生東路5段163號之1,25.059740780914805, 121.56219631263092,3
民有市場地下停車場,民有市場,臺北市松山區民權東路3段140巷15號,25.060639385230257, 121.54701819729074,2
民權公園地下停車場,民權公園,臺北市松山區民權東路4段180號,25.06184455866627, 121.55893365311519,4
西松高中地下停車場,西松高中,臺北市松山區健康路325巷19弄1號,25.05605360626106, 121.56611405496079,2
松山國小地下停車場,松山國小,臺北市松山區八德路4段746號,25.05007453637239, 121.5775379531149,2
健康國小地下停車場,健康國小,臺北市松山區延壽街168號,25.056822890075093, 121.5627631396203,2
偶戲博物館地下停車場,偶戲博物館,臺北市松山區市民大道5段99號,25.04794520056258, 121.56133589729026,2
三張里地下停車場,三張里地下停車場,臺北市信義區松平路81號,25.03077452914802, 121.56697621263035,8
五分埔公園地下停車場,五分埔公園,臺北市信義區中坡北路57號,25.0469102624315, 121.58045909729027,2
府前廣場地下停車場,府前廣場,臺北市信義區松壽路1號,25.03630746147736, 121.56295791263051,12
忠信地下停車場,忠信地下停車場,臺北市信義區松仁路2號,25.040410710901362, 121.5681063972902,2
松山工農地下停車場,松山工農,臺北市信義區忠孝東路5段236巷15號,25.03936447379909, 121.57225235496033,2
松山車站地下停車場,松山車站,臺北市信義區松山路11號南廣場,25.049434299452372, 121.57828299729047,4
松山高中地下停車場,松山高中,臺北市信義區基隆路1段156號,25.043776848757823, 121.56544064146574,2
信義國小地下停車場,信義國小,臺北市信義區松勤路60號,25.031429506903393, 121.56299769729006,2
信義廣場地下停車場,信義廣場,臺北市信義區信義路5段11號,25.033271361968854, 121.56634351078478,2
春光公園地下停車場,春光公園,臺北市信義區忠孝東路5段666號,25.042780230709695, 121.58095105311475,3
景勤二號公園地下停車場,景勤二號公園,臺北市信義區信安街49號,25.026919414051605, 121.55832782797074,5
雅祥公園地下停車場,雅祥公園,臺北市信義區松隆路123巷7號,25.04785051985542, 121.57160463962006,6
臺北市災害應變中心地下停車場,臺北市災害應變中心,臺北市信義區莊敬路391巷11弄2號,25.029237181025984, 121.56630208194953,2
興雅國中地下停車場,興雅國中,臺北市信義區松德路200巷18號,25.035195684362648, 121.57278577030056,4
世貿公園地下停車場,世貿公園,臺北市南港區經貿二路88巷1號,25.057915603011484, 121.61650276845553,5
玉成公園地下停車場,玉成公園,臺北市南港區成福路118號,25.042677951197238, 121.58600631263064,4
玉成國小地下停車場,玉成國小,臺北市南港區昆陽街23號,25.053491971918717, 121.59270746845547,2
南港國小地下停車場,南港國小,臺北市南港區興東街59號,25.056848528316543, 121.61181172612562,2
興中立體停車場,興中立體停車場,臺北市南港區興中路44巷1號,25.056360786545756, 121.60653151263082,4
古亭國中地下停車場,古亭國中,臺北市萬華區中華路2段606巷1號,25.024302226802718, 121.51015628379517,2
青年公園高爾夫球場地下停車場,青年公園高爾夫球場,臺北市萬華區國興路5號,25.02456620457843, 121.50760969913553,2
青年公園棒球場地下停車場,青年公園棒球場,臺北市萬華區青年路69號,25.02401442737275, 121.50293376845475,2
洛陽綜合立體停車場,洛陽綜合立體停車場,臺北市萬華區環河南路1段1號,25.04801244093197, 121.5053946261254,5
峨眉立體停車場,峨眉立體停車場,臺北市萬華區峨眉街83號,25.044232606744757, 121.50561501263068,4
萬板地下停車場,萬板地下停車場,臺北市萬華區艋舺大道462號,25.02818227628797, 121.49040161263036,6
萬華車站地下停車場,萬華車站,臺北市萬華區康定路382號,25.03359532937968, 121.50026649728991,3
萬華國中地下停車場,萬華國中,臺北市萬華區西藏路201號,25.02935923150342, 121.49955029729006,4
艋舺公園地下停車場,艋舺公園,臺北市萬華區西園路1段145號,25.03588199984537, 121.4999960414656,10
雙園國中地下停車場,雙園國中,臺北市萬華區西園路2段320巷55弄3號,25.027728798564503, 121.49143898379528,2
士林區行政中心停車場,士林區行政中心,臺北市士林區中正路439號,25.092932893029584, 121.51957029729121,1
士林運動中心停車場,士林運動中心,臺北市士林區士商路1號,25.0895385650648, 121.52151146845614,1
天文科學教育館停車場,天文科學教育館,臺北市士林區基河路363號,25.096080584442202, 121.51858733962113,1
兒童新樂園停車場,兒童新樂園,臺北市士林區承德路5段55號,25.09833123242314, 121.51539818379666,1
應安士林一停車場,應安士林一停車場,臺北市士林區忠誠路2段53巷7號地下1、2層,25.111823138389926, 121.53236328195123,1
大同區行政中心停車場,大同區行政中心,臺北市大同區昌吉街57號地下1樓,25.066144025899955, 121.51512203962042,1
大安地政事務所停車場,大安地政事務所,臺北市大安區信義路4段335巷6號B1、B2 、B3,25.03398593999963, 121.55657257797094,1
中山區行政中心停車場,中山區行政中心,臺北市中山區松江路367號,25.064648083880847, 121.53356926660997,1
民族魚市場停車場,民族魚市場,臺北市中山區民族東路410巷2弄20號B1、B2,25.066870177319213, 121.53677565496086,1
花博公園圓山地下停車場,花博公園,臺北市中山區玉門街1號,25.07061947108681, 121.52155966845561,2
第一殯儀館停車場,第一殯儀館,臺北市中山區民權東路2段145號,25.06362835583561, 121.53567171263101,2
第二果菜批發市場停車場,第二果菜批發市場,臺北市中山區民族東路336號(B1、B2、4F、5F與RF),25.067244468125374, 121.53823813691251,1
龍江八德站停車場,龍江八德站停車場,臺北市中山區龍江路15號B1-B2,25.047621221621437, 121.54054899729037,1
K區地下街停車場,K區地下街,臺北市中正區忠孝西路一段47號地下2層,25.04715924168962, 121.51538998194991,2
水源大樓停車場,水源大樓,臺北市中正區羅斯福路4段92號,25.01375212513717, 121.53494953961932,1
臺北市客家文化主題公園停車場,臺北市客家文化主題公園,臺北市中正區臺北市汀州路3段2號,25.019929379602708, 121.52563198194935,1
內湖垃圾焚化廠地下停車場,內湖垃圾焚化廠,臺北市內湖區安康路290號,25.062445232500984, 121.60449991078538,1
西湖市場暨捷運站地下停車場,西湖市場暨捷運站,臺北市內湖區內湖路1段285號B1-B4,25.082791359577012, 121.56675544146657,1
臺北市立南湖高級中學電動汽車充電站,南湖高中,臺北市內湖區康寧路3段220號,25.066732297776785, 121.6105282126311,2
文山區行政中心停車場,文山區行政中心,臺北市文山區木柵路3段220號,24.989863646074767, 121.57012551262957,1
木柵站停車場,木柵站,臺北市文山區木柵路4段135號,24.998584648996147, 121.57310292427876,1
木柵機廠轉乘停車場,木柵機廠,臺北市文山區新光路2段19號,25.001634330591198, 121.58451675495967,1
動物園站地下停車場,動物園站,臺北市文山區新光路2段28號,24.99684198558448, 121.57714345495945,1
北投垃圾焚化廠地下停車場,北投垃圾焚化廠,臺北市北投區洲美街271號,25.10813937007205, 121.49927819729152,1
北投區行政中心停車場,北投區行政中心,臺北市北投區新市街30號地下1樓,25.13259414624841, 121.50289746661124,1
